ponto;O1intact_rock_strength;O2intact_rock_strength;O3intact_rock_strength;O4intact_rock_strength;O5intact_rock_strength;O6intact_rock_strength;O1weathering;O2weathering;O3weathering;O4weathering;O5weathering;O1discontinuity_spacing;O2discontinuity_spacing;O3discontinuity_spacing;O4discontinuity_spacing;O1discontinuity_persistence;O2discontinuity_persistence;O3discontinuity_persistence;O4discontinuity_persistence;O1discontinuity_aperture;O2discontinuity_aperture;O3discontinuity_aperture;O4discontinuity_aperture;N1presence_of_water;classification
1523;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;1;0;0;0;1;0;class_II
1524;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;class_III
1525;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1526;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1527;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1528;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;class_III
1529;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;class_III
1530;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;class_III
1531;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1532;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;class_III
1533;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;class_III
1534;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;class_III
1535;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1536;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;class_II
1537;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;class_III
1538;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;class_II
1539;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;class_III
1540;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;class_III
1541;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;class_II
1542;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;class_III
1543;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1544;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;class_II
1545;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;class_III
1546;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;class_II
1547;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;class_IV
1548;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;class_III
1549;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;1;0;class_III
1550;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;class_II
1551;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;class_III
1552;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;class_III
1553;0;0;0;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;class_III
1554;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;class_III
1555;0;0;0;1;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;0;class_III
